Date,Contract,Units,Volume,LowPrice,HighPrice,AvgPrice,LastPrice
9/2/2000,Rep,160,79.143,0.481,0.5,0.495,0.5
9/3/2000,Dem,324,162.019,0.5,0.503,0.5,0.5
9/3/2000,Reform,111,0.451,0.004,0.006,0.004,0.004
9/3/2000,Rep,259,128.492,0.495,0.5,0.496,0.495
9/4/2000,Dem,368,184.437,0.498,0.508,0.501,0.508
9/4/2000,Reform,232,1.147,0.004,0.005,0.005,0.005
9/4/2000,Rep,627,309.452,0.487,0.499,0.494,0.49
9/5/2000,Dem,656,332.57,0.5,0.518,0.507,0.511
9/5/2000,Reform,301,1.553,0.005,0.006,0.005,0.005
9/5/2000,Rep,580,282.832,0.474,0.496,0.488,0.478
9/6/2000,Dem,590,322.189,0.511,0.6,0.546,0.533
9/6/2000,Reform,157,0.718,0.003,0.006,0.005,0.004
9/6/2000,Rep,414,192.836,0.458,0.488,0.466,0.469
9/7/2000,Dem,"1,319",746.042,0.543,0.588,0.566,0.56
9/7/2000,Reform,878,3.082,0.002,0.005,0.004,0.002
9/7/2000,Rep,"2,287","1,031.96",0.427,0.48,0.451,0.438
9/8/2000,Dem,"1,448",842.84,0.547,0.604,0.582,0.576
9/8/2000,Reform,69,0.15,0.002,0.003,0.002,0.003
9/8/2000,Rep,871,378.067,0.426,0.439,0.434,0.432
9/9/2000,Dem,404,230.584,0.562,0.575,0.571,0.562
9/9/2000,Reform,366,0.822,0.002,0.003,0.002,0.003
9/9/2000,Rep,612,263.759,0.424,0.439,0.431,0.439
9/10/2000,Dem,357,199.714,0.547,0.569,0.559,0.551
9/10/2000,Reform,"1,360",2.77,0.002,0.003,0.002,0.002
9/10/2000,Rep,188,83.616,0.44,0.45,0.445,0.449
9/11/2000,Dem,"1,197",692.269,0.553,0.599,0.578,0.585
9/11/2000,Reform,391,0.792,0.002,0.003,0.002,0.002
9/11/2000,Rep,742,322.743,0.426,0.445,0.435,0.426
9/12/2000,Dem,999,586.843,0.57,0.599,0.587,0.574
9/12/2000,Reform,946,1.914,0.002,0.003,0.002,0.002
9/12/2000,Rep,761,322.723,0.41,0.442,0.424,0.419
9/13/2000,Dem,532,314.614,0.575,0.599,0.591,0.595
9/13/2000,Reform,686,1.372,0.002,0.002,0.002,0.002
9/13/2000,Rep,"1,136",460.181,0.395,0.437,0.405,0.401
9/14/2000,Dem,"1,599",974.139,0.591,0.625,0.609,0.62
9/14/2000,Reform,244,0.489,0.002,0.003,0.002,0.002
9/14/2000,Rep,734,289.27,0.36,0.417,0.394,0.382
9/15/2000,Dem,"1,450",932.641,0.623,0.65,0.643,0.65
9/15/2000,Reform,"1,737",4.97,0.002,0.003,0.003,0.003
9/15/2000,Rep,"1,596",581.482,0.351,0.388,0.364,0.37
9/16/2000,Dem,290,187.358,0.62,0.675,0.646,0.67
9/16/2000,Reform,"1,387",1.774,0.001,0.003,0.001,0.003
9/16/2000,Rep,"1,335",491.519,0.325,0.38,0.368,0.375
9/17/2000,Dem,72,47.123,0.644,0.656,0.654,0.656
9/17/2000,Reform,707,1.414,0.002,0.003,0.002,0.002
9/17/2000,Rep,599,198.788,0.305,0.355,0.332,0.342
9/18/2000,Dem,"1,436","1,008.28",0.668,0.748,0.702,0.718
9/18/2000,Reform,349,0.638,0.001,0.003,0.002,0.001
9/18/2000,Rep,"1,413",439.968,0.275,0.338,0.311,0.314
9/19/2000,Dem,"1,737","1,200.95",0.67,0.728,0.691,0.699
9/19/2000,Reform,"1,773",3.389,0.001,0.002,0.002,0.002
9/19/2000,Rep,734,239.427,0.282,0.36,0.326,0.324
9/20/2000,Dem,"1,438",934.879,0.605,0.698,0.65,0.605
9/20/2000,Reform,"9,980",30.015,0.002,0.004,0.003,0.002
9/20/2000,Rep,"2,228",808.563,0.32,0.435,0.363,0.39
9/21/2000,Dem,849,522.478,0.58,0.638,0.615,0.629
9/21/2000,Reform,"1,171",3.488,0.002,0.004,0.003,0.003
9/21/2000,Rep,"1,561",618.311,0.35,0.43,0.396,0.388
9/22/2000,Dem,347,212.272,0.604,0.648,0.612,0.606
9/22/2000,Reform,"1,426",4.478,0.002,0.004,0.003,0.003
9/22/2000,Rep,"1,103",431.229,0.376,0.399,0.391,0.391
9/23/2000,Dem,318,193.079,0.6,0.616,0.607,0.61
9/23/2000,Reform,297,0.758,0.002,0.003,0.003,0.002
